Tahun,Jumlah Penduduk Miskin,Kabupaten/Kota
2021,67.21,Gorontalo
2022,66.64,Gorontalo
2023,65.88,Gorontalo
2024,61.91,Gorontalo
2018,21.09,Gorontalo Utara
2019,19.46,Gorontalo Utara
2020,19.56,Gorontalo Utara
2021,19.34,Gorontalo Utara
2022,19.38,Gorontalo Utara
2023,19.17,Gorontalo Utara
2024,18.99,Gorontalo Utara
2018,59.34,Gowa
2019,57.99,Gowa
2020,57.68,Gowa
2021,58.66,Gowa
2022,57.96,Gowa
2023,59.1,Gowa
2024,55.13,Gowa
2018,154.02,Gresik
2019,148.61,Gresik
2020,164.05,Gresik
2021,166.35,Gresik
2022,149.64,Gresik
2023,149.75,Gresik
2024,142.39,Gresik
2018,168.7,Grobogan
2019,161.92,Grobogan
2020,172.26,Grobogan
2021,175.72,Grobogan
2022,163.2,Grobogan
2023,162.52,Grobogan
2024,159.0,Grobogan
2018,125.76,Gunung Kidul
2019,123.08,Gunung Kidul
2020,127.61,Gunung Kidul
2021,135.33,Gunung Kidul
2022,122.82,Gunung Kidul
2023,122.24,Gunung Kidul
2024,120.41,Gunung Kidul
2018,5.96,Gunung Mas
2019,5.86,Gunung Mas
2020,5.78,Gunung Mas
2021,6.3,Gunung Mas
2022,6.7,Gunung Mas
2023,6.55,Gunung Mas
2024,6.86,Gunung Mas
2018,10.14,Halmahera Barat
2019,10.13,Halmahera Barat
2020,10.56,Halmahera Barat
2021,10.59,Halmahera Barat
2022,10.06,Halmahera Barat
2023,10.53,Halmahera Barat
2024,10.65,Halmahera Barat
2018,11.01,Halmahera Selatan
2019,11.79,Halmahera Selatan
2020,12.41,Halmahera Selatan
2021,12.24,Halmahera Selatan
2022,11.89,Halmahera Selatan
2023,13.65,Halmahera Selatan
2024,13.69,Halmahera Selatan
2018,7.51,Halmahera Tengah
2019,7.81,Halmahera Tengah
2020,7.7,Halmahera Tengah
2021,7.65,Halmahera Tengah
2022,6.93,Halmahera Tengah
2023,6.74,Halmahera Tengah
2024,6.44,Halmahera Tengah
2018,13.82,Halmahera Timur
2019,14.53,Halmahera Timur
2020,14.97,Halmahera Timur
2021,14.58,Halmahera Timur
2022,13.0,Halmahera Timur
