Kabupaten/Kota,Tahun,Pengeluaran Perkapita Umbi-Umbian
Hulu Sungai Tengah,2020,338.04
Hulu Sungai Tengah,2021,565.3
Hulu Sungai Tengah,2022,618.66
Hulu Sungai Tengah,2023,1072.04
Hulu Sungai Tengah,2024,858.0
Hulu Sungai Utara,2018,416.46
Hulu Sungai Utara,2019,388.55
Hulu Sungai Utara,2020,303.38
Hulu Sungai Utara,2021,623.27
Hulu Sungai Utara,2022,583.16
Hulu Sungai Utara,2023,589.11
Hulu Sungai Utara,2024,774.0
Humbang Hasundutan,2018,947.24
Humbang Hasundutan,2019,707.27
Humbang Hasundutan,2020,741.71
Humbang Hasundutan,2021,1012.87
Humbang Hasundutan,2022,942.84
Humbang Hasundutan,2023,1278.31
Humbang Hasundutan,2024,1147.0
Indragiri Hilir,2018,1672.2
Indragiri Hilir,2019,1493.62
Indragiri Hilir,2020,1472.2
Indragiri Hilir,2021,1864.03
Indragiri Hilir,2022,2107.66
Indragiri Hilir,2023,2248.11
Indragiri Hilir,2024,1779.0
Indragiri Hulu,2018,1585.17
Indragiri Hulu,2019,1620.36
Indragiri Hulu,2020,1693.21
Indragiri Hulu,2021,1962.42
Indragiri Hulu,2022,1644.49
Indragiri Hulu,2023,2118.91
Indragiri Hulu,2024,1968.0
Indramayu,2018,443.53
Indramayu,2019,520.75
Indramayu,2020,733.35
Indramayu,2021,799.52
Indramayu,2022,565.2
Indramayu,2023,1103.49
Indramayu,2024,920.0
Intan Jaya,2018,20192.26
Intan Jaya,2019,9258.17
Intan Jaya,2020,17118.64
Intan Jaya,2021,8076.48
Intan Jaya,2022,11916.58
Intan Jaya,2023,27019.15
Intan Jaya,2024,40906.0
Jayapura,2018,6708.03
Jayapura,2019,4965.34
Jayapura,2020,3926.77
Jayapura,2021,7361.77
Jayapura,2022,7454.63
Jayapura,2023,11419.26
Jayapura,2024,6707.0
Jayawijaya,2018,28624.57
Jayawijaya,2019,23665.64
Jayawijaya,2020,33486.24
Jayawijaya,2021,36900.97
Jayawijaya,2022,53567.5
Jayawijaya,2023,45335.82
Jayawijaya,2024,9861.0
Jember,2018,735.29
Jember,2019,828.36
Jember,2020,983.16
Jember,2021,1244.36
Jember,2022,1277.68
Jember,2023,1332.66
Jember,2024,1313.0
Jembrana,2018,784.15
Jembrana,2019,774.25
Jembrana,2020,626.46
Jembrana,2021,1007.93
Jembrana,2022,968.9
Jembrana,2023,983.05
Jembrana,2024,803.0
Jeneponto,2018,682.22
Jeneponto,2019,662.9
Jeneponto,2020,697.19
Jeneponto,2021,1132.68
Jeneponto,2022,1323.36
Jeneponto,2023,1235.67
Jeneponto,2024,607.0
Jepara,2018,552.68
Jepara,2019,735.62
Jepara,2020,674.4
Jepara,2021,1016.5
Jepara,2022,1159.04
Jepara,2023,1068.12
Jepara,2024,944.0
Jombang,2018,898.21
Jombang,2019,1012.67
Jombang,2020,1204.57
Jombang,2021,1385.83
Jombang,2022,1351.76
Jombang,2023,1201.68
Jombang,2024,1093.0
Kaimana,2018,3825.38
Kaimana,2019,5590.32
Kaimana,2020,6076.71
Kaimana,2021,6419.68
Kaimana,2022,6523.16
