Kabupaten/Kota,Tahun,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan
Dogiyai,2019,5.4,4.08
Dogiyai,2020,5.41,4.09
Dogiyai,2021,5.42,4.1
Dogiyai,2022,5.44,4.12
Dogiyai,2023,5.45,4.13
Dogiyai,2024,5.46,4.14
Dompu,2018,8.77,7.53
Dompu,2019,8.94,7.87
Dompu,2020,8.95,7.99
Dompu,2021,9.24,8.02
Dompu,2022,9.25,8.08
Dompu,2023,9.49,8.35
Dompu,2024,9.52,8.45
Donggala,2018,8.47,7.17
Donggala,2019,8.48,7.45
Donggala,2020,8.49,7.63
Donggala,2021,8.5,7.69
Donggala,2022,8.5,7.73
Donggala,2023,8.51,7.74
Donggala,2024,8.52,7.86
Empat Lawang,2018,8.04,7.21
Empat Lawang,2019,8.05,7.22
Empat Lawang,2020,8.11,7.45
Empat Lawang,2021,8.15,7.49
Empat Lawang,2022,8.16,7.5
Empat Lawang,2023,8.17,7.51
Empat Lawang,2024,8.19,7.53
Ende,2018,8.33,7.37
Ende,2019,8.34,7.38
Ende,2020,8.35,7.53
Ende,2021,8.49,7.8
Ende,2022,8.5,8.02
Ende,2023,8.61,8.03
Ende,2024,8.62,8.13
Enrekang,2018,9.0,8.3
Enrekang,2019,9.25,8.31
Enrekang,2020,9.26,8.42
Enrekang,2021,9.28,8.42
Enrekang,2022,9.29,8.69
Enrekang,2023,9.3,8.7
Enrekang,2024,9.31,8.87
Fakfak,2018,10.33,7.63
Fakfak,2019,10.34,7.83
Fakfak,2020,10.69,8.03
Fakfak,2021,10.79,8.22
Fakfak,2022,10.8,8.48
Fakfak,2023,10.81,8.69
Fakfak,2024,10.83,8.91
Flores Timur,2018,7.94,6.82
Flores Timur,2019,8.27,7.04
Flores Timur,2020,8.28,7.05
Flores Timur,2021,8.29,7.06
Flores Timur,2022,8.31,7.37
Flores Timur,2023,8.66,7.51
Flores Timur,2024,8.67,7.57
Garut,2018,7.87,7.03
Garut,2019,7.88,7.05
Garut,2020,7.89,7.09
Garut,2021,7.9,7.1
Garut,2022,8.13,7.41
Garut,2023,8.14,7.49
Garut,2024,8.19,7.5
Gayo Lues,2018,8.61,6.88
Gayo Lues,2019,8.79,7.15
Gayo Lues,2020,9.04,7.45
Gayo Lues,2021,9.21,7.7
Gayo Lues,2022,9.22,7.71
Gayo Lues,2023,9.23,7.72
Gayo Lues,2024,9.25,7.81
Gianyar,2018,9.76,8.13
Gianyar,2019,9.77,8.16
Gianyar,2020,9.78,8.34
Gianyar,2021,9.98,8.61
Gianyar,2022,10.28,8.86
Gianyar,2023,10.38,9.19
Gianyar,2024,10.44,9.2
Gorontalo,2018,6.32,7.07
Gorontalo,2019,6.6,7.33
Gorontalo,2020,6.66,7.35
Gorontalo,2021,6.79,7.53
Gorontalo,2022,7.09,7.92
Gorontalo,2023,7.28,8.09
Gorontalo,2024,7.88,8.7
Gorontalo Utara,2018,6.47,7.04
Gorontalo Utara,2019,6.49,7.13
Gorontalo Utara,2020,6.79,7.42
Gorontalo Utara,2021,6.94,7.43
Gorontalo Utara,2022,6.95,7.44
Gorontalo Utara,2023,6.96,7.47
Gorontalo Utara,2024,7.19,7.7
Gowa,2018,7.96,7.56
Gowa,2019,8.31,7.68
Gowa,2020,8.55,7.84
Gowa,2021,8.56,7.85
Gowa,2022,8.6,8.08
Gowa,2023,8.61,8.25
Gowa,2024,8.62,8.44
Gresik,2018,9.5,8.5
Gresik,2019,9.74,8.87
Gresik,2020,9.83,8.88
Gresik,2021,9.94,9.16
Gresik,2022,10.04,9.46
Gresik,2023,10.33,9.72
Gresik,2024,10.34,9.78
