Kabupaten/Kota,Kelompok IKP,Tahun,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
Badung,6,2018,1.48,2.06,7.04,0.0,18.01,9.64,0.23,74.53,14.9
Gianyar,6,2018,0.81,4.46,1.38,0.0,23.05,8.41,0.19,73.06,22.5
Klungkung,6,2018,1.38,6.29,31.57,0.17,16.34,7.08,0.41,70.45,16.6
Bangli,6,2018,1.3,5.23,20.15,0.18,35.45,6.62,0.64,69.83,28.4
Karangasem,6,2018,0.84,6.55,53.92,0.68,34.1,5.39,0.4,69.85,23.6
Buleleng,6,2018,1.26,5.74,23.21,0.41,33.73,6.93,0.89,71.14,29.0
Kota Denpasar,6,2018,50.0,2.27,38.33,0.0,3.12,10.47,0.03,74.17,9.5
Lombok Barat,5,2018,0.93,16.46,34.82,0.18,43.05,6.49,0.95,65.78,36.1
Lombok Tengah,5,2018,0.66,15.31,46.92,0.26,48.66,6.36,0.68,65.28,39.3
Lombok Timur,4,2018,0.83,18.28,48.4,0.11,54.66,6.76,0.63,65.01,35.1
Sumbawa,6,2018,0.22,15.31,32.05,2.55,36.22,7.56,5.56,66.58,41.9
Dompu,6,2018,0.26,13.43,38.5,1.1,31.9,8.24,5.54,65.89,38.3
Bima,5,2018,0.33,15.1,42.39,1.76,35.98,7.72,4.81,65.4,36.6
Sumbawa Barat,6,2018,0.34,15.96,41.83,0.23,27.66,8.19,2.8,66.98,32.6
Lombok Utara,4,2018,0.78,32.06,39.9,0.23,53.39,6.06,1.88,66.17,37.6
Kota Mataram,5,2018,50.0,9.55,44.44,0.22,12.45,8.28,0.03,70.98,37.8
Kota Bima,4,2018,0.88,9.27,50.33,0.21,21.4,9.94,0.56,69.58,36.3
Kupang,4,2018,0.99,22.91,50.17,22.68,51.6,7.64,5.37,63.49,47.2
Timor Tengah Selatan,3,2018,0.92,29.44,70.29,43.07,60.5,6.43,17.6,65.65,53.5
Timor Tengah Utara,4,2018,0.59,23.52,67.96,26.71,62.02,7.37,4.73,66.19,40.8
Belu,4,2018,0.69,15.95,48.48,13.14,57.78,7.27,2.22,63.42,39.3
Alor,3,2018,1.37,21.67,68.73,17.59,61.68,7.8,8.9,60.47,40.2
Flores Timur,5,2018,1.23,10.75,54.88,2.36,46.27,7.32,2.6,64.45,29.9
Sikka,5,2018,0.89,14.2,54.11,24.88,44.63,6.68,2.03,66.3,29.1
Ende,4,2018,1.61,23.95,58.6,5.23,43.24,7.82,2.42,64.48,34.1
Ngada,5,2018,0.38,12.77,42.9,14.1,48.24,8.18,2.02,67.36,35.9
Manggarai,4,2018,0.96,21.91,56.96,15.78,46.52,7.23,1.62,65.84,50.3
Sumba Timur,4,2018,0.67,31.03,58.15,18.34,47.82,7.31,12.94,64.12,40.1
Sumba Barat,3,2018,0.63,29.28,67.05,42.4,68.52,6.99,2.24,66.2,38.0
Lembata,4,2018,0.65,26.48,58.3,19.86,46.25,7.55,2.98,66.19,40.8
Rote Ndao,4,2018,0.57,28.81,61.76,10.08,49.09,7.56,2.8,63.41,46.7
Manggarai Barat,5,2018,0.46,18.86,52.14,23.05,53.51,7.15,3.9,66.19,35.0
Nagekeo,5,2018,0.78,13.48,59.98,13.31,49.09,7.98,2.8,66.36,39.8
Sumba Tengah,3,2018,0.69,36.01,75.14,37.44,69.16,6.58,5.47,67.74,43.5
Sumba Barat Daya,3,2018,0.72,30.13,82.23,51.16,68.49,5.77,5.13,67.76,38.7
Manggarai Timur,3,2018,0.77,26.8,73.13,46.7,73.04,6.64,8.04,67.4,24.4
Sabu Raijua,1,2018,3.35,31.07,77.18,36.99,50.03,7.19,1.38,59.0,50.0
Malaka,3,2018,2.07,16.52,51.93,23.81,70.22,6.8,1.96,64.29,44.6
Kota Kupang,5,2018,50.0,9.81,44.13,0.63,32.08,10.82,0.18,68.58,36.4
Sambas,6,2018,0.53,8.59,32.9,0.66,48.85,6.71,4.9,68.17,37.1
Mempawah,5,2018,0.84,5.94,51.3,0.74,42.37,6.55,3.36,70.32,35.1
Sanggau,6,2018,0.65,4.52,34.05,12.54,42.09,6.75,15.35,70.75,43.0
Ketapang,5,2018,1.22,11.02,42.36,6.64,48.32,7.23,21.42,70.52,33.0
Sintang,5,2018,1.18,10.2,33.99,25.02,46.29,6.65,26.91,71.11,44.1
Kapuas Hulu,5,2018,1.15,9.45,46.71,5.02,33.56,6.91,31.24,71.95,40.3
Bengkayang,6,2018,0.46,7.51,40.89,8.69,52.8,6.31,6.55,73.04,39.6
Landak,4,2018,2.19,12.23,57.56,27.96,57.58,6.84,13.39,72.12,33.3
Sekadau,5,2018,1.48,6.46,40.19,14.61,43.37,6.38,11.78,70.98,44.1
Melawi,4,2018,1.84,12.54,63.43,20.24,45.64,6.29,20.36,72.39,37.9
Kayong Utara,5,2018,0.52,9.89,37.2,3.47,52.84,5.75,15.8,67.46,33.8
Kubu Raya,5,2018,0.98,5.26,35.86,0.75,45.18,7.23,8.55,69.8,34.8
Kota Pontianak,5,2018,50.0,5.31,46.7,0.0,30.96,9.64,0.04,72.17,28.4
Kota Singkawang,4,2018,50.0,5.42,49.05,0.74,33.15,7.47,0.46,71.13,31.1
Kotawaringin Barat,5,2018,3.23,4.52,24.88,1.09,16.04,8.32,11.31,70.34,36.9
Kotawaringin Timur,5,2018,1.42,6.24,26.76,2.84,23.35,7.88,18.15,69.7,41.8
Kapuas,6,2018,0.35,5.32,58.53,7.3,35.01,7.85,12.46,68.59,44.1
Barito Selatan,5,2018,1.54,4.44,48.38,3.46,27.0,8.78,17.31,66.78,42.0
Barito Utara,6,2018,1.19,5.21,29.54,4.56,27.61,7.96,13.79,71.27,37.2
Katingan,6,2018,0.71,5.78,48.98,3.1,26.67,8.3,27.56,65.53,34.4
Seruyan,5,2018,1.76,7.46,28.76,2.08,36.19,7.77,26.18,69.23,33.5
Sukamara,6,2018,1.95,3.36,19.72,3.17,20.87,7.54,15.54,71.41,27.9
Lamandau,6,2018,0.52,3.52,33.7,4.94,39.94,7.86,13.18,69.28,37.6
Gunung Mas,3,2018,4.2,5.83,49.75,18.84,27.53,8.97,26.36,70.15,48.1
Pulang Pisau,6,2018,0.22,5.19,42.26,0.78,30.33,7.75,18.0,67.86,35.4
Murung Raya,4,2018,1.8,5.88,45.35,13.88,41.09,7.33,33.81,69.39,46.7
Barito Timur,5,2018,1.29,7.17,29.93,1.25,40.3,8.69,8.01,67.97,35.7
Kota Palangkaraya,6,2018,50.0,3.62,44.8,0.0,10.11,10.24,1.0,73.13,33.8
Tanah Laut,6,2018,0.36,4.6,29.71,0.15,43.16,7.44,3.78,68.89,40.6
Kotabaru,6,2018,0.77,4.38,29.59,3.53,25.62,7.28,11.23,68.72,46.7
Banjar,6,2018,0.57,2.96,26.84,0.98,30.9,7.31,2.33,66.38,26.1
Barito Kuala,6,2018,0.25,5.13,50.42,1.39,37.51,6.95,3.22,65.33,36.3
Tapin,6,2018,0.16,3.77,37.11,1.28,26.6,7.47,3.26,69.77,45.7
Hulu Sungai Selatan,6,2018,0.25,5.8,45.62,1.59,27.32,7.67,1.95,65.39,39.9
Hulu Sungai Tengah,6,2018,0.26,6.09,40.14,0.13,38.34,7.96,2.04,65.3,39.1
Hulu Sungai Utara,6,2018,0.5,6.65,29.64,0.38,26.73,7.57,1.29,62.94,39.4
Tabalong,6,2018,0.62,6.09,39.07,0.0,26.09,8.59,3.1,69.95,36.5
Tanah Bumbu,6,2018,0.94,4.99,20.89,0.0,16.45,7.69,2.24,69.44,17.9
Balangan,6,2018,0.2,5.68,41.11,2.23,20.58,7.15,2.83,67.19,35.3
Kota Banjarmasin,6,2018,50.0,4.19,47.88,0.34,4.45,9.46,0.02,70.55,31.5
Kota Banjarbaru,5,2018,50.0,4.68,47.61,0.0,20.78,10.23,0.5,71.5,29.1
Paser,5,2018,1.8,9.28,57.46,1.5,19.93,8.05,11.32,72.05,31.7
Kutai Kartanegara,6,2018,1.23,7.57,52.25,0.41,7.78,8.88,14.45,71.68,30.9
Berau,6,2018,1.53,5.41,20.61,2.15,14.93,9.1,24.14,71.44,30.4
Kutai Barat,5,2018,2.16,8.72,27.62,6.53,32.71,8.05,20.91,72.37,31.5
Kutai Timur,5,2018,2.87,9.29,18.22,1.85,9.85,8.95,18.87,72.51,32.4
Penajam Paser Utara,6,2018,1.41,7.63,10.51,0.34,15.75,7.96,5.07,70.82,31.8
Mahakam Ulu,5,2018,1.61,11.29,53.94,6.16,21.45,7.85,85.49,71.25,30.5
Kota Balikpapan,6,2018,50.0,2.82,41.81,0.0,3.78,9.8,0.17,73.97,30.2
Kota Samarinda,6,2018,50.0,4.77,41.71,0.0,2.0,10.07,0.23,73.71,28.8
Kota Bontang,6,2018,50.0,5.16,42.54,0.09,3.49,10.43,0.18,73.72,32.4
Bulungan,6,2018,0.91,9.93,20.28,1.15,17.57,8.74,15.84,72.51,27.0
Malinau,6,2018,1.09,8.06,11.59,5.33,17.67,8.83,56.15,71.39,31.6
Nunukan,6,2018,1.14,6.22,29.92,5.02,18.52,7.54,19.95,71.25,39.3
Tana Tidung,5,2018,2.4,6.63,20.53,0.89,26.02,7.61,24.36,71.33,42.3
Kota Tarakan,6,2018,50.0,6.32,49.05,0.25,5.12,9.84,0.31,73.85,32.2
Bolaang Mongondow,6,2018,0.16,8.02,48.24,0.0,45.53,7.71,5.73,68.61,35.8
Minahasa,6,2018,1.02,7.9,35.72,0.57,35.77,9.76,1.74,70.46,37.6
Kepulauan Sangihe,2,2018,4.32,11.8,62.98,6.49,55.11,8.57,0.86,69.35,22.2
Kepulauan Talaud,4,2018,2.52,9.77,43.69,2.46,50.87,8.84,2.37,69.48,37.5
Minahasa Selatan,5,2018,0.78,9.78,55.58,0.0,49.36,9.3,2.45,69.24,35.9
Minahasa Utara,6,2018,0.97,7.46,37.29,0.44,34.04,9.96,1.75,70.86,29.7
Minahasa Tenggara,5,2018,0.7,14.08,53.58,0.0,47.1,9.21,2.48,69.58,24.6
Bolaang Mongondow Utara,5,2018,0.3,8.89,54.21,1.43,52.9,8.82,7.52,66.98,36.8
Kep. Siau Tagulandang Biaro,2,2018,5.0,10.33,60.46,3.06,45.79,9.29,0.55,69.85,30.4
Bolaang Mongondow Timur,6,2018,0.83,6.2,35.97,0.22,40.06,7.65,4.63,67.32,22.3
Bolaang Mongondow Selatan,4,2018,1.31,14.16,53.11,0.29,43.85,7.68,9.67,64.03,51.3
Kota Manado,6,2018,50.0,5.46,49.24,0.0,7.83,10.68,0.06,71.34,27.3
Kota Bitung,5,2018,50.0,6.62,53.31,0.0,14.75,9.97,0.41,70.54,29.9
Kota Tomohon,6,2018,0.93,6.47,47.97,0.0,28.89,10.51,0.2,71.18,13.4
Kota Kotamobagu,5,2018,50.0,5.9,48.67,0.0,17.3,9.55,0.15,69.72,30.7
Banggai,6,2018,0.46,9.2,33.31,2.18,47.27,8.17,12.35,70.02,31.5
Poso,6,2018,0.37,17.16,24.6,1.25,38.27,9.01,7.13,70.16,35.4
Donggala,5,2018,0.81,18.17,39.24,8.42,50.43,7.74,7.3,65.89,39.5
Tolitoli,5,2018,0.83,13.3,38.13,6.59,33.97,8.23,3.2,64.12,36.9
Buol,4,2018,1.52,16.65,43.08,6.35,40.02,8.69,6.97,67.0,41.3
Morowali,6,2018,0.6,14.55,29.62,2.69,37.88,8.84,5.05,68.07,34.0
Banggai Kepulauan,2,2018,5.0,15.92,38.6,12.7,39.04,7.93,5.72,64.53,37.3
Parigi Moutong,5,2018,0.41,17.55,34.88,8.05,41.97,7.27,3.51,63.19,34.4
Tojo Una-Una,4,2018,1.6,18.15,41.55,9.37,44.83,8.1,6.64,64.07,38.4
Sigi,5,2018,0.48,12.66,37.1,5.62,49.98,8.28,5.81,68.72,36.4
Banggai Laut,2,2018,5.0,16.17,37.57,1.52,43.32,8.11,1.37,63.62,33.4
Morowali Utara,5,2018,0.61,15.73,28.42,6.07,44.29,8.53,15.71,68.34,36.5
Kota Palu,6,2018,50.0,6.74,40.71,0.16,13.77,10.62,0.14,69.93,36.8
Kepulauan Selayar,5,2018,1.17,13.28,60.67,2.03,40.28,7.41,2.36,67.82,30.2
Bulukumba,6,2018,0.46,7.97,35.31,0.51,43.38,7.7,1.39,66.96,31.8
Bantaeng,6,2018,0.33,9.66,17.87,0.81,28.71,7.34,1.2,69.9,38.1
Jeneponto,5,2018,0.34,15.4,56.93,0.0,28.36,6.91,1.81,65.65,35.9
Takalar,6,2018,0.52,9.24,22.92,0.14,26.28,7.42,0.9,66.38,33.3
Gowa,6,2018,0.34,8.42,33.3,0.4,30.64,8.18,2.5,69.95,36.8
Sinjai,6,2018,0.55,9.24,22.51,1.96,45.53,7.68,1.36,66.61,43.7
Bone,6,2018,0.21,10.28,26.57,3.62,44.9,7.13,1.89,66.22,40.1
Maros,6,2018,0.28,11.14,18.12,0.49,27.65,7.82,2.44,68.6,41.2
Pangkajene Dan Kepulauan,5,2018,0.62,16.22,57.23,0.59,31.42,7.47,1.82,65.86,41.9
Barru,6,2018,0.42,9.71,15.48,1.98,33.17,8.18,1.11,68.3,31.0
Soppeng,6,2018,0.22,8.29,35.95,3.05,42.57,7.88,2.9,68.72,38.7
Wajo,6,2018,0.14,7.38,25.18,0.88,32.95,7.06,3.02,66.52,36.8
Sidenreng Rappang,6,2018,0.14,5.32,29.3,0.45,35.09,7.86,3.44,68.82,31.3
Pinrang,6,2018,0.16,8.46,31.06,0.34,36.22,7.87,2.83,68.68,38.1
Enrekang,5,2018,0.79,13.16,32.23,0.0,56.15,8.52,2.88,70.38,45.9
Luwu,6,2018,0.32,14.01,32.69,6.76,47.59,8.28,5.26,69.6,39.1
Tana Toraja,5,2018,0.55,12.62,36.24,7.68,55.64,8.2,3.18,72.56,43.0
Luwu Utara,6,2018,0.48,14.33,19.87,2.14,43.61,7.73,12.49,67.61,30.8
Luwu Timur,6,2018,0.38,7.66,19.82,5.11,34.64,8.34,10.44,69.79,22.1
Toraja Utara,5,2018,0.48,14.41,40.52,0.65,51.71,7.95,1.62,72.94,42.4
Kota Makassar,6,2018,50.0,4.59,39.93,0.11,6.72,10.08,0.02,71.51,25.2
Kota Pare Pare,6,2018,50.0,5.7,47.7,0.33,12.66,10.19,0.12,70.69,35.7
Kota Palopo,5,2018,50.0,8.78,48.13,0.0,11.84,10.79,0.34,70.3,32.8
Kolaka,6,2018,0.52,13.78,22.41,3.35,30.75,8.63,3.5,70.05,31.9
Konawe,6,2018,0.29,15.65,54.03,1.52,36.04,9.05,6.28,69.52,29.6
Muna,4,2018,2.24,14.85,16.55,0.38,53.31,8.28,3.24,69.77,31.8
Buton,4,2018,1.54,13.46,18.77,2.87,60.79,8.11,3.0,67.3,38.3
Konawe Selatan,6,2018,0.55,11.14,20.55,1.65,42.38,7.6,7.96,69.98,37.4
Bombana,6,2018,0.58,12.36,28.18,4.23,34.55,7.19,7.2,67.82,40.1
Wakatobi,5,2018,1.52,16.19,22.73,1.23,37.08,7.85,0.93,69.59,26.4
Kolaka Utara,4,2018,2.3,16.24,30.08,13.48,39.03,7.77,3.19,69.74,36.5
Konawe Utara,6,2018,0.46,13.93,24.34,2.03,54.59,8.81,13.55,68.69,29.9
Buton Utara,5,2018,0.58,15.58,26.16,15.17,42.79,8.08,3.38,70.38,44.5
Kolaka Timur,6,2018,0.44,15.64,11.94,1.66,28.42,8.61,6.1,71.66,37.3
Konawe Kepulauan,4,2018,2.01,18.1,17.16,11.02,45.04,9.08,5.5,67.88,43.6
Muna Barat,3,2018,5.0,16.24,13.31,7.78,20.97,7.58,1.66,69.79,31.7
Buton Tengah,2,2018,5.0,18.35,23.64,2.88,5.94,4.43,1.69,67.17,48.8
Buton Selatan,2,2018,5.0,15.99,22.56,24.05,21.97,7.04,0.97,67.17,43.5
Kota Kendari,6,2018,50.0,5.01,41.71,0.24,13.88,11.47,0.16,73.02,37.1
Kota Bau Bau,5,2018,50.0,8.39,41.41,0.09,16.79,9.95,0.44,70.5,33.7
Gorontalo,5,2018,0.69,17.65,21.77,4.15,48.37,7.66,1.99,66.69,32.4
Boalemo,5,2018,0.89,21.85,28.53,7.52,48.25,6.78,3.44,67.86,32.4
Bone Bolango,5,2018,2.01,17.81,24.05,1.64,35.42,8.44,3.31,67.71,25.6
Pahuwato,5,2018,1.14,21.27,31.45,1.58,13.98,7.54,7.61,62.86,33.2
Gorontalo Utara,5,2018,0.44,19.23,36.66,3.84,39.2,7.29,4.22,65.12,27.4
Kota Gorontalo,6,2018,50.0,5.7,40.14,0.0,12.18,10.2,0.08,71.79,36.2
Mamuju Utara,5,2018,0.88,4.84,25.57,7.51,38.9,7.46,8.0,65.33,39.9
Mamuju,6,2018,0.45,6.88,27.97,5.25,44.77,7.7,3.79,66.65,38.2
Mamasa,4,2018,0.6,13.51,53.96,5.67,80.88,8.06,7.24,70.48,44.1
Polewali Mandar,5,2018,0.39,16.05,45.51,0.54,45.28,7.33,2.88,61.76,38.7
Majene,4,2018,1.73,13.94,41.94,6.17,39.63,8.85,2.33,60.79,43.9
Mamuju Tengah,6,2018,0.56,6.95,27.3,9.83,44.55,7.39,3.19,67.52,39.1
Maluku Tengah,4,2018,1.24,21.2,41.44,1.59,50.88,9.46,10.15,66.06,32.0
Maluku Tenggara,4,2018,2.08,23.87,9.15,16.53,53.25,9.38,8.03,64.61,26.6
Maluku Tenggara Barat,1,2018,5.0,27.47,58.08,15.95,54.01,9.17,18.29,63.06,31.7
Buru,5,2018,0.68,17.4,27.15,5.51,47.68,8.66,13.93,66.03,31.8
Seram Bagian Timur,3,2018,2.09,23.59,50.45,16.03,62.95,7.87,6.33,58.56,41.1
Seram Bagian Barat,3,2018,1.51,25.49,38.68,12.62,65.58,8.77,7.19,60.96,29.1
Kepulauan Aru,1,2018,5.0,27.13,34.62,42.03,53.89,8.39,15.46,62.34,34.2
Maluku Barat Daya,2,2018,2.76,30.18,45.79,23.88,72.53,8.32,15.19,61.62,34.8
Buru Selatan,3,2018,2.38,16.83,44.97,12.99,63.71,7.48,12.85,65.74,31.0
Kota Ambon,5,2018,50.0,4.46,46.48,0.68,30.4,11.35,0.26,69.92,22.1
Kota Tual,1,2018,50.0,24.0,49.6,5.66,43.49,10.11,0.69,64.61,30.3
Halmahera Barat,4,2018,2.67,8.74,28.73,1.7,61.06,7.89,3.9,65.55,23.6
Halmahera Tengah,4,2018,1.11,14.15,23.58,11.82,58.61,8.42,10.35,62.8,32.7
Halmahera Utara,6,2018,1.15,4.22,27.77,0.87,48.04,8.34,6.45,68.94,16.9
Halmahera Selatan,5,2018,1.23,4.1,19.86,8.69,52.02,7.48,10.07,65.2,28.4
Kepulauan Sula,3,2018,2.74,8.59,50.39,15.56,48.78,8.74,8.2,62.6,39.4
Halmahera Timur,5,2018,0.56,15.25,28.41,3.08,54.35,7.84,17.34,67.85,24.2
Pulau Morotai,5,2018,0.65,7.07,42.75,8.0,57.9,6.68,7.09,66.28,29.0
Pulau Taliabu,2,2018,3.61,7.17,35.57,35.02,68.36,7.48,13.35,61.32,16.6
Kota Ternate,6,2018,50.0,2.73,42.2,0.0,14.89,11.08,0.12,70.27,24.4
Kota Tidore Kepulauan,3,2018,50.0,5.45,55.88,0.0,50.3,9.57,1.0,68.64,17.5
Merauke,6,2018,0.28,10.81,22.54,5.3,32.97,7.72,65.52,66.56,17.6
Jayawijaya,3,2018,0.66,38.62,30.76,42.07,42.7,5.6,4.34,58.67,39.0
Jayapura,4,2018,3.28,13.01,36.13,2.93,36.75,8.74,7.79,66.47,27.9
Nabire,5,2018,0.55,25.38,30.34,7.36,25.36,8.89,6.49,67.55,31.4
Kepulauan Yapen,3,2018,2.94,26.82,58.67,29.6,39.92,8.12,10.04,68.71,41.9
Biak Numfor,2,2018,5.0,25.44,56.0,1.36,30.18,8.85,38.77,67.87,34.2
Puncak Jaya,1,2018,5.0,36.01,60.55,85.09,72.22,4.25,11.18,64.41,27.8
Paniai,2,2018,0.66,37.4,54.53,68.03,58.51,3.14,65.26,65.7,42.3
Mimika,3,2018,5.0,14.89,36.46,1.85,6.35,8.89,2.36,71.93,32.2
Sarmi,1,2018,5.0,13.75,37.88,18.15,44.49,8.47,100.0,65.82,35.7
Keerom,3,2018,3.31,16.69,20.18,4.46,34.36,7.32,26.02,66.18,26.6
Pegunungan Bintang,1,2018,5.0,30.6,69.1,65.78,44.15,4.88,49.48,63.9,39.3
Yahukimo,1,2018,3.36,39.33,52.1,97.09,81.44,2.78,41.85,65.32,34.4
Tolikara,1,2018,3.14,32.73,75.48,88.93,86.42,2.62,24.68,65.1,41.0
Waropen,2,2018,2.98,30.82,39.16,6.97,55.81,7.89,27.12,65.82,28.1
Boven Digoel,2,2018,3.21,19.9,37.86,8.37,39.28,8.08,50.55,58.77,31.8
Mappi,1,2018,5.0,25.75,67.23,73.14,62.36,5.83,40.43,64.3,31.4
Asmat,1,2018,5.0,27.16,74.2,18.71,48.54,4.31,79.77,56.32,25.9
Supiori,1,2018,5.0,37.4,45.35,25.79,40.95,7.83,3.17,65.33,38.1
Mamberamo Raya,1,2018,5.0,29.88,71.73,56.12,60.32,5.42,100.0,56.9,29.0
Mamberamo Tengah,1,2018,5.0,36.38,22.34,61.08,100.0,2.1,34.97,62.92,26.0
Yalimo,1,2018,5.0,34.97,23.33,14.18,73.28,2.58,22.6,64.94,33.2
Lanny Jaya,1,2018,5.0,39.6,42.77,96.91,98.23,3.71,14.39,65.65,28.6
Nduga,1,2018,5.0,37.29,77.33,93.51,98.75,1.57,69.14,54.6,37.8
Puncak,1,2018,5.0,37.46,89.55,84.85,33.55,2.25,42.62,65.13,29.8
Dogiyai,1,2018,5.0,30.36,60.68,96.4,88.03,4.47,26.24,65.12,43.9
Intan Jaya,1,2018,5.0,42.23,91.1,88.94,96.98,1.4,86.18,65.09,45.5
Deiyai,1,2018,5.0,43.63,55.44,55.35,59.74,1.95,12.45,64.63,37.7
Kota Jayapura,5,2018,50.0,11.46,44.63,0.12,12.5,9.55,0.91,70.0,31.6
Sorong,3,2018,2.67,32.86,26.02,9.97,27.85,8.78,64.13,65.52,28.4
Manokwari,4,2018,2.22,24.32,19.2,6.69,51.57,9.42,5.88,68.0,36.8
Fakfak,1,2018,5.0,25.96,57.36,4.68,34.79,9.53,100.0,67.95,31.3
Sorong Selatan,2,2018,5.0,19.66,41.67,13.24,34.52,8.17,16.46,65.63,36.8
Raja Ampat,3,2018,3.19,20.0,20.22,11.1,42.63,8.64,24.26,64.26,36.9
Teluk Bintuni,1,2018,5.0,34.32,26.26,6.3,34.26,8.72,67.05,59.83,24.9
Teluk Wondama,1,2018,5.0,36.37,25.82,16.58,57.8,9.36,15.33,59.26,38.6
Kaimana,2,2018,5.0,17.22,13.61,25.48,36.33,9.37,38.53,63.99,31.1
Tambrauw,1,2018,5.0,35.99,42.91,7.18,65.65,6.95,100.0,59.29,37.3
Maybrat,1,2018,5.0,34.87,21.68,6.02,73.6,8.95,100.0,64.8,20.5
Manokwari Selatan,3,2018,1.19,34.02,39.12,10.97,60.3,7.42,100.0,66.96,39.5
Pegunungan Arfak,1,2018,4.0,39.23,50.27,72.79,56.07,4.68,55.55,66.72,43.5
Kota Sorong,4,2018,50.0,17.78,42.23,0.43,9.89,10.96,1.0,69.67,32.7
Aceh Selatan,5,2019,0.69,14.01,55.21,0.75,50.19,8.5,5.64,64.02,35.93
Aceh Tenggara,5,2019,0.41,14.29,50.21,0.86,37.51,9.18,4.84,67.77,45.3
Aceh Timur,5,2019,0.42,14.49,43.55,0.68,41.64,8.18,3.2,68.44,42.8
Aceh Tengah,5,2019,0.88,15.58,35.06,0.16,39.5,9.77,3.82,68.62,39.8
Aceh Barat,5,2019,0.68,19.31,40.58,1.45,29.88,9.32,2.75,67.72,32.63
Aceh Besar,6,2019,0.48,14.47,36.78,1.03,11.35,9.82,1.72,69.59,38.72
Pidie,5,2019,0.32,20.47,49.49,0.68,40.67,8.96,1.2,66.68,36.16
Aceh Utara,5,2019,0.31,18.27,57.97,0.0,45.94,8.39,1.54,68.61,32.53
Simeulue,5,2019,0.82,19.78,50.05,1.43,29.35,8.9,2.28,65.0,47.31
Aceh Singkil,2,2019,5.0,21.25,31.52,0.29,46.02,8.33,2.93,67.16,26.94
Bireuen,6,2019,0.51,14.31,50.14,0.54,39.74,9.32,0.71,70.92,40.97
Aceh Barat Daya,5,2019,0.35,17.1,57.39,1.96,55.03,8.59,2.55,64.65,35.41
Gayo Lues,5,2019,0.44,20.7,26.8,0.62,27.56,7.65,6.57,65.12,44.4
Aceh Jaya,6,2019,0.49,14.16,50.78,1.36,24.51,8.6,8.45,66.88,34.0
Nagan Raya,5,2019,0.64,18.97,37.73,0.72,35.98,8.15,4.85,68.89,40.56
Aceh Tamiang,6,2019,1.01,14.21,29.25,0.33,22.92,8.92,2.51,69.28,33.42
Bener Meriah,3,2019,3.47,20.13,29.41,0.53,39.69,9.65,1.72,68.99,45.95
Pidie Jaya,6,2019,0.3,20.17,49.76,0.99,28.96,9.03,1.37,69.81,36.8
Kota Banda Aceh,6,2019,50.0,7.25,8.95,0.0,0.35,11.98,0.02,71.1,26.58
Kota Sabang,5,2019,50.0,16.31,17.45,0.0,3.12,11.21,0.4,70.21,23.48
Kota Lhokseumawe,6,2019,3.83,11.81,23.88,0.0,4.85,10.92,0.07,71.27,35.41
Kota Langsa,6,2019,5.57,10.79,10.81,0.0,13.42,11.23,0.24,69.16,27.52
Kota Subulussalam,1,2019,7.24,18.51,53.38,0.31,57.11,7.99,1.0,63.69,49.62
Tapanuli Tengah,4,2019,1.56,13.17,56.09,6.31,53.43,8.24,2.04,66.82,43.69
Tapanuli Utara,6,2019,0.43,9.75,58.82,1.2,44.61,9.53,2.62,68.11,38.26
Tapanuli Selatan,5,2019,0.52,9.16,59.05,5.61,44.8,8.77,8.33,64.55,28.76
Nias,4,2019,0.85,16.37,57.98,33.47,78.73,4.91,2.23,69.43,61.32
Langkat,6,2019,1.15,10.2,35.37,0.17,26.15,8.61,3.67,68.22,31.64
Karo,6,2019,0.39,8.67,53.54,1.39,28.52,9.53,2.04,70.97,29.59
Deli Serdang,6,2019,1.18,4.13,23.72,0.11,18.31,9.98,0.61,71.31,25.68
Simalungun,6,2019,0.38,9.31,39.27,0.44,40.42,9.31,1.64,70.75,28.43
Asahan,5,2019,2.13,10.25,31.48,0.29,18.22,8.71,2.65,67.79,24.87
Labuhanbatu,4,2019,2.58,8.61,34.95,3.79,36.88,9.06,2.41,69.6,36.38
Dairi,6,2019,0.45,8.2,62.36,1.16,37.03,9.16,1.4,68.41,40.17
Toba Samosir,6,2019,0.23,8.67,45.85,3.33,28.61,10.14,2.33,69.59,29.74
Mandailing Natal,4,2019,0.91,9.58,55.17,8.48,59.78,8.38,17.02,62.24,48.3
Nias Selatan,4,2019,1.29,16.65,42.59,26.38,65.4,5.69,1.47,68.24,45.06
Pakpak Bharat,4,2019,1.06,9.74,49.05,2.67,65.32,8.24,4.74,65.27,45.58
Humbang Hasundutan,5,2019,0.41,9.0,47.79,1.37,59.03,9.12,5.94,68.69,41.33
Samosir,5,2019,0.54,13.38,61.97,0.68,59.01,9.07,4.24,70.87,24.37
Serdang Bedagai,6,2019,0.26,8.22,40.16,0.51,31.46,8.71,1.43,68.08,35.99
Batu Bara,5,2019,1.08,12.57,42.72,0.41,25.83,8.04,1.51,66.38,23.72
Padang Lawas Utara,4,2019,2.24,10.06,47.21,7.37,51.9,9.01,5.12,66.77,47.53
Padang Lawas,4,2019,1.68,8.41,46.74,7.45,51.21,8.95,4.44,66.69,42.89
