Kabupaten/Kota,Tahun,Pengeluaran Perkapita Padi-Padian
Hulu Sungai Utara,2021,17521.56
Hulu Sungai Utara,2022,18959.24
Hulu Sungai Utara,2023,21861.56
Hulu Sungai Utara,2024,20502.0
Humbang Hasundutan,2018,23468.93
Humbang Hasundutan,2019,24646.34
Humbang Hasundutan,2020,23775.57
Humbang Hasundutan,2021,23446.92
Humbang Hasundutan,2022,24609.77
Humbang Hasundutan,2023,29426.6
Humbang Hasundutan,2024,30406.0
Indragiri Hilir,2018,16063.7
Indragiri Hilir,2019,15733.61
Indragiri Hilir,2020,16118.34
Indragiri Hilir,2021,16559.24
Indragiri Hilir,2022,15903.82
Indragiri Hilir,2023,19858.24
Indragiri Hilir,2024,22862.0
Indragiri Hulu,2018,16179.25
Indragiri Hulu,2019,15729.54
Indragiri Hulu,2020,15330.58
Indragiri Hulu,2021,17883.07
Indragiri Hulu,2022,16336.44
Indragiri Hulu,2023,19847.85
Indragiri Hulu,2024,20863.0
Indramayu,2018,18580.03
Indramayu,2019,16098.95
Indramayu,2020,18246.03
Indramayu,2021,17711.49
Indramayu,2022,17536.23
Indramayu,2023,18371.42
Indramayu,2024,22935.0
Intan Jaya,2018,15418.96
Intan Jaya,2019,20290.33
Intan Jaya,2020,28994.22
Intan Jaya,2021,22355.21
Intan Jaya,2022,21512.26
Intan Jaya,2023,29581.58
Intan Jaya,2024,35823.0
Jayapura,2018,11220.59
Jayapura,2019,13265.22
Jayapura,2020,13074.47
Jayapura,2021,15629.81
Jayapura,2022,16122.63
Jayapura,2023,19982.34
Jayapura,2024,18062.0
Jayawijaya,2018,19715.17
Jayawijaya,2019,21486.4
Jayawijaya,2020,16158.1
Jayawijaya,2021,25504.08
Jayawijaya,2022,26847.46
Jayawijaya,2023,26433.39
Jayawijaya,2024,17645.0
Jember,2018,13723.41
Jember,2019,16651.11
Jember,2020,16461.07
Jember,2021,16909.54
Jember,2022,18054.63
Jember,2023,19296.85
Jember,2024,22560.0
Jembrana,2018,18845.0
Jembrana,2019,18866.06
Jembrana,2020,17816.82
Jembrana,2021,20068.08
Jembrana,2022,18693.84
Jembrana,2023,20734.75
Jembrana,2024,28714.0
Jeneponto,2018,13461.2
Jeneponto,2019,13936.52
Jeneponto,2020,16663.37
Jeneponto,2021,16229.28
Jeneponto,2022,15854.01
